wals code,name,value,description,latitude,longitude,genus,family,area
tib,Tibetan (Standard Spoken),2,Moderately complex,30,91,Bodic,Sino-Tibetan,Phonology
tgk,Tigak,2,Moderately complex,-2.716666667,150.8,Oceanic,Austronesian,Phonology
tgr,Tigré,2,Moderately complex,16.5,38.5,Semitic,Afro-Asiatic,Phonology
try,Tiruray,2,Moderately complex,6.75,124.1666667,Bilic,Austronesian,Phonology
tiw,Tiwi,2,Moderately complex,-11.5,131,Tiwian,Tiwian,Phonology
tli,Tlingit,3,Complex,59,-135,Tlingit,Na-Dene,Phonology
toa,Toaripi,1,Simple,-8.333333333,146.25,Eleman,Eleman,Phonology
tol,Tol,2,Moderately complex,14.66666667,-87,Tol,Tol,Phonology
ton,Tonkawa,2,Moderately complex,30.25,-96.75,Tonkawa,Tonkawa,Phonology
dts,Toro So,1,Simple,14.41666667,-3.25,Dogon,Dogon,Phonology
tru,Trumai,2,Moderately complex,-11.91666667,-53.58333333,Trumai,Trumai,Phonology
tsi,Tsimshian (Coast),3,Complex,52.5,-129,Tsimshianic,Tsimshianic,Phonology
tso,Tsou,3,Complex,23.5,120.75,Tsou,Austronesian,Phonology
ttu,Tsova-Tush,3,Complex,42.5,45.5,Nakh,Nakh-Daghestanian,Phonology
tug,Tuareg (Ahaggar),3,Complex,23,6,Berber,Afro-Asiatic,Phonology
tuk,Tukang Besi,1,Simple,-5.5,123.5,Celebic,Austronesian,Phonology
tul,Tulu,3,Complex,12.75,75.33333333,Dravidian,Dravidian,Phonology
tur,Turkish,2,Moderately complex,39,35,Turkic,Altaic,Phonology
tuv,Tuvan,3,Complex,52,95,Turkic,Altaic,Phonology
tza,Tzeltal (Aguacatenango),3,Complex,16.41666667,-92.5,Mayan,Mayan,Phonology
umb,UMbundu,1,Simple,-12.5,15,Bantu,Niger-Congo,Phonology
una,Una,2,Moderately complex,-4.666666667,140,Mek,Trans-New Guinea,Phonology
ung,Ungarinjin,2,Moderately complex,-16.33333333,126,Worrorran,Worrorran,Phonology
urk,Urubú-Kaapor,2,Moderately complex,-2.333333333,-46.5,Maweti-Guarani,Tupian,Phonology
usa,Usan,2,Moderately complex,-4.833333333,145.1666667,North Adelbert,Trans-New Guinea,Phonology
uzn,Uzbek (Northern),3,Complex,40.66666667,66.5,Turkic,Altaic,Phonology
vie,Vietnamese,2,Moderately complex,10.5,106.5,Vietic,Austro-Asiatic,Phonology
wah,Wahgi,2,Moderately complex,-5.833333333,144.7166667,Chimbu-Wahgi,Trans-New Guinea,Phonology
bno,Waimaha,1,Simple,0.3333333333,-70.25,Tucanoan,Tucanoan,Phonology
wam,Wambaya,2,Moderately complex,-18.66666667,135.75,Wambayan,Mirndi,Phonology
wnt,Wantoat,2,Moderately complex,-6.166666667,146.5,Finisterre,Trans-New Guinea,Phonology
wao,Waorani,1,Simple,-1,-76.5,Waorani,Waorani,Phonology
wps,Wapishana,2,Moderately complex,2.666666667,-60,Negro-Roraima,Arawakan,Phonology
wra,Warao,1,Simple,9.333333333,-61.66666667,Warao,Warao,Phonology
wrd,Wardaman,3,Complex,-15.5,131,Yangmanic,Yangmanic,Phonology
war,Wari',2,Moderately complex,-11.33333333,-65,Chapacura-Wanham,Chapacura-Wanham,Phonology
wrs,Waris,2,Moderately complex,-3.166666667,141,Border,Border,Phonology
wma,West Makian,2,Moderately complex,0.5,127.5833333,North Halmaheran,North Halmaheran,Phonology
wch,Wichí,2,Moderately complex,-22.5,-62.58333333,Matacoan,Matacoan,Phonology
wmu,Wik Munkan,2,Moderately complex,-13.91666667,141.75,Northern Pama-Nyungan,Pama-Nyungan,Phonology
win,Wintu,2,Moderately complex,41,-122.5,Wintuan,Penutian,Phonology
woi,Woisika,2,Moderately complex,-8.25,124.8333333,Alor-Pantar,Greater West Bomberai,Phonology
wlf,Wolof,3,Complex,15.25,-16,Wolof,Niger-Congo,Phonology
ygr,Yagaria,3,Complex,-6.333333333,145.4166667,Siane-Yagaria,Trans-New Guinea,Phonology
yag,Yagua,2,Moderately complex,-3.5,-72,Peba-Yaguan,Peba-Yaguan,Phonology
ykt,Yakut,3,Complex,62,130,Turkic,Altaic,Phonology
yny,Yanyuwa,2,Moderately complex,-16.41666667,137.1666667,Western Pama-Nyungan,Pama-Nyungan,Phonology
yap,Yapese,2,Moderately complex,9.583333333,138.1666667,Yapese,Austronesian,Phonology
yaq,Yaqui,2,Moderately complex,27.5,-110.25,Cahita,Uto-Aztecan,Phonology
yar,Yareba,1,Simple,-9.5,148.5,Yareban,Trans-New Guinea,Phonology
yaw,Yawa,2,Moderately complex,-1.75,136.25,Yawa,Yawa,Phonology
yay,Yay,2,Moderately complex,22.41666667,104.75,Kam-Tai,Tai-Kadai,Phonology
yel,Yelî Dnye,1,Simple,-11.36666667,154.1666667,Yele,Yele,Phonology
yes,Yessan-Mayo,2,Moderately complex,-4.166666667,142.5833333,Tama Sepik,Sepik,Phonology
