wals code,name,value,description,latitude,longitude,genus,family,area
mab,Maba,1,OV,13.75,20.83333333,Maban,Maban,Word Order
mcd,Macedonian,2,VO,41.66666667,21.75,Slavic,Indo-European,Word Order
mch,Machiguenga,2,VO,-12,-72.66666667,Pre-Andine Arawakan,Arawakan,Word Order
mac,Macushi,1,OV,4,-60,Cariban,Cariban,Word Order
mda,Mada (in Cameroon),2,VO,10.83333333,14.16666667,Biu-Mandara,Afro-Asiatic,Word Order
mdm,Madimadi,2,VO,-34.5,143.5,Southeastern Pama-Nyungan,Pama-Nyungan,Word Order
mae,Mae,2,VO,-16,167.25,Oceanic,Austronesian,Word Order
mgh,Magahi,1,OV,23.5,85.5,Indic,Indo-European,Word Order
mag,Magar,1,OV,28,83,Himalayish,Sino-Tibetan,Word Order
mgi,Magi,1,OV,-10.33333333,149.3333333,Mailuan,Trans-New Guinea,Word Order
mne,Maidu (Northeast),1,OV,40,-120.6666667,Maiduan,Penutian,Word Order
mpr,Maipure,2,VO,5.5,-67.5,Alto-Orinoco,Arawakan,Word Order
mrs,Mairasi,1,OV,-3.5,134,Mairasic,Mairasic,Word Order
msn,Maisin,1,OV,-9.5,149.1666667,Oceanic,Austronesian,Word Order
mai,Maithili,1,OV,26,86,Indic,Indo-European,Word Order
maj,Majang,2,VO,6.75,35,Majang,Eastern Sudanic,Word Order
mkz,Makaa,2,VO,3.416666667,12.25,Bantu,Niger-Congo,Word Order
mak,Makah,2,VO,48.33333333,-124.6666667,Southern Wakashan,Wakashan,Word Order
mkj,Makasae,1,OV,-8.666666667,126.5,East Timor,Greater West Bomberai,Word Order
mkl,Maklew,1,OV,-7.666666667,139.4166667,Bulaka River,Bulaka River,Word Order
mkd,Makonde,2,VO,-11,40,Bantu,Niger-Congo,Word Order
mua,Makua,2,VO,-15,38.66666667,Bantu,Niger-Congo,Word Order
mal,Malagasy,2,VO,-20,47,Barito,Austronesian,Word Order
mlk,Malakmalak,1,OV,-13.41666667,130.4166667,Northern Daly,Northern Daly,Word Order
mym,Malayalam,1,OV,10,76.5,Dravidian,Dravidian,Word Order
mlu,Maleu,2,VO,-5.716666667,148.4166667,Oceanic,Austronesian,Word Order
mlg,Malgwa,2,VO,11.5,13.75,Biu-Mandara,Afro-Asiatic,Word Order
