wals code,name,value,description,latitude,longitude,genus,family,area
pol,Polish,6,6-7 cases,52,20,Slavic,Indo-European,Nominal Categories
pso,Pomo (Southeastern),6,6-7 cases,39,-122.5,Pomoan,Hokan,Nominal Categories
pae,Páez,6,6-7 cases,2.666666667,-76,Páezan,Páezan,Nominal Categories
qaw,Qawasqar,2,2 cases,-49,-75,Alacalufan,Alacalufan,Nominal Categories
qim,Quechua (Imbabura),7,8-9 cases,0.3333333333,-78,Quechuan,Quechuan,Nominal Categories
ram,Rama,7,8-9 cases,11.75,-83.75,Rama,Chibchan,Nominal Categories
rap,Rapanui,1,No morphological case-marking,-27.11666667,-109.3666667,Oceanic,Austronesian,Nominal Categories
rka,Romani (Kalderash),6,6-7 cases,45,21,Indic,Indo-European,Nominal Categories
rom,Romanian,2,2 cases,46,25,Romance,Indo-European,Nominal Categories
rus,Russian,6,6-7 cases,56,38,Slavic,Indo-European,Nominal Categories
sno,Saami (Northern),6,6-7 cases,69,24,Saami,Uralic,Nominal Categories
san,Sango,1,No morphological case-marking,5,18,Ubangi,Niger-Congo,Nominal Categories
snm,Sanuma,2,2 cases,4.5,-64.66666667,Yanomam,Yanomam,Nominal Categories
sel,Selknam,9,Exclusively borderline case-marking,-53,-70,Chonan Proper,Chonan,Nominal Categories
sml,Semelai,3,3 cases,3,103,Aslian,Austro-Asiatic,Nominal Categories
snt,Sentani,1,No morphological case-marking,-2.583333333,140.5833333,Sentanic,Sentanic,Nominal Categories
scr,Serbian-Croatian,5,5 cases,44,19,Slavic,Indo-European,Nominal Categories
shk,Shipibo-Konibo,6,6-7 cases,-7.5,-75,Panoan,Pano-Tacanan,Nominal Categories
snh,Sinhala,5,5 cases,7,80.5,Indic,Indo-European,Nominal Categories
sla,Slave,1,No morphological case-marking,67,-125,Athapaskan,Na-Dene,Nominal Categories
som,Somali,3,3 cases,3,45,Lowland East Cushitic,Afro-Asiatic,Nominal Categories
spa,Spanish,1,No morphological case-marking,40,-4,Romance,Indo-European,Nominal Categories
squ,Squamish,2,2 cases,49.66666667,-123.1666667,Central Salish,Salishan,Nominal Categories
sue,Suena,4,4 cases,-7.75,147.55,Binanderean,Trans-New Guinea,Nominal Categories
sup,Supyire,9,Exclusively borderline case-marking,11.5,-5.583333333,Senufo,Niger-Congo,Nominal Categories
swa,Swahili,1,No morphological case-marking,-6.5,39,Bantu,Niger-Congo,Nominal Categories
swe,Swedish,2,2 cases,60,15,Germanic,Indo-European,Nominal Categories
tab,Taba,1,No morphological case-marking,0,127.5,South Halmahera - West New Guinea,Austronesian,Nominal Categories
tag,Tagalog,1,No morphological case-marking,15,121,Greater Central Philippine,Austronesian,Nominal Categories
tts,Tati (Southern),2,2 cases,36,49.66666667,Iranian,Indo-European,Nominal Categories
tha,Thai,1,No morphological case-marking,16,101,Kam-Tai,Tai-Kadai,Nominal Categories
tin,Tinrin,1,No morphological case-marking,-21.66666667,165.75,Oceanic,Austronesian,Nominal Categories
tiw,Tiwi,1,No morphological case-marking,-11.5,131,Tiwian,Tiwian,Nominal Categories
tli,Tlingit,7,8-9 cases,59,-135,Tlingit,Na-Dene,Nominal Categories
tda,Toda,8,10 or more cases,11.41666667,76.75,Dravidian,Dravidian,Nominal Categories
tru,Trumai,5,5 cases,-11.91666667,-53.58333333,Trumai,Trumai,Nominal Categories
tsi,Tsimshian (Coast),1,No morphological case-marking,52.5,-129,Tsimshianic,Tsimshianic,Nominal Categories
tuk,Tukang Besi,1,No morphological case-marking,-5.5,123.5,Celebic,Austronesian,Nominal Categories
tun,Tunica,9,Exclusively borderline case-marking,32.66666667,-91,Tunica,Tunica,Nominal Categories
tna,Turkana,6,6-7 cases,3,35.5,Eastern Nilotic,Eastern Sudanic,Nominal Categories
tur,Turkish,6,6-7 cases,39,35,Turkic,Altaic,Nominal Categories
tvl,Tuvaluan,1,No morphological case-marking,-8.5,179.1666667,Oceanic,Austronesian,Nominal Categories
udh,Udihe,7,8-9 cases,47.66666667,136.25,Tungusic,Altaic,Nominal Categories
udm,Udmurt,8,10 or more cases,57.5,52.5,Permic,Uralic,Nominal Categories
una,Una,1,No morphological case-marking,-4.666666667,140,Mek,Trans-New Guinea,Nominal Categories
ung,Ungarinjin,7,8-9 cases,-16.33333333,126,Worrorran,Worrorran,Nominal Categories
urd,Urdu,2,2 cases,25,67,Indic,Indo-European,Nominal Categories
urk,Urubú-Kaapor,1,No morphological case-marking,-2.333333333,-46.5,Maweti-Guarani,Tupian,Nominal Categories
usa,Usan,9,Exclusively borderline case-marking,-4.833333333,145.1666667,North Adelbert,Trans-New Guinea,Nominal Categories
vie,Vietnamese,1,No morphological case-marking,10.5,106.5,Vietic,Austro-Asiatic,Nominal Categories
wam,Wambaya,7,8-9 cases,-18.66666667,135.75,Wambayan,Mirndi,Nominal Categories
wra,Warao,5,5 cases,9.333333333,-61.66666667,Warao,Warao,Nominal Categories
wrd,Wardaman,7,8-9 cases,-15.5,131,Yangmanic,Yangmanic,Nominal Categories
war,Wari',1,No morphological case-marking,-11.33333333,-65,Chapacura-Wanham,Chapacura-Wanham,Nominal Categories
was,Washo,9,Exclusively borderline case-marking,39.25,-120,Washo,Washo,Nominal Categories
wel,Welsh,1,No morphological case-marking,52,-3,Celtic,Indo-European,Nominal Categories
wic,Wichita,9,Exclusively borderline case-marking,33.33333333,-97.33333333,Northern Caddoan,Caddoan,Nominal Categories
wch,Wichí,1,No morphological case-marking,-22.5,-62.58333333,Matacoan,Matacoan,Nominal Categories
win,Wintu,4,4 cases,41,-122.5,Wintuan,Penutian,Nominal Categories
yag,Yagua,9,Exclusively borderline case-marking,-3.5,-72,Peba-Yaguan,Peba-Yaguan,Nominal Categories
yaq,Yaqui,2,2 cases,27.5,-110.25,Cahita,Uto-Aztecan,Nominal Categories
ywl,Yawelmani,6,6-7 cases,35.41666667,-119,Yokuts,Penutian,Nominal Categories
yid,Yidiny,7,8-9 cases,-17,145.75,Northern Pama-Nyungan,Pama-Nyungan,Nominal Categories
yim,Yimas,9,Exclusively borderline case-marking,-4.666666667,143.55,Lower Sepik,Ramu-Lower Sepik,Nominal Categories
yor,Yoruba,1,No morphological case-marking,8,4.333333333,Defoid,Niger-Congo,Nominal Categories
yuc,Yuchi,9,Exclusively borderline case-marking,35.75,-86.75,Yuchi,Yuchi,Nominal Categories
yko,Yukaghir (Kolyma),7,8-9 cases,65.75,150.8333333,Yukaghir,Yukaghir,Nominal Categories
ypk,Yup'ik (Central),6,6-7 cases,59.5,-160,Eskimo,Eskimo-Aleut,Nominal Categories
yur,Yurok,9,Exclusively borderline case-marking,41.33333333,-124,Yurok,Algic,Nominal Categories
zqc,Zoque (Copainalá),2,2 cases,17,-93.25,Mixe-Zoque,Mixe-Zoque,Nominal Categories
zul,Zulu,1,No morphological case-marking,-30,30,Bantu,Niger-Congo,Nominal Categories
zun,Zuni,1,No morphological case-marking,35.08333333,-108.8333333,Zuni,Zuni,Nominal Categories
